date,temperature,humidity
29.07.2020-07:57:39,10.87,59.57
29.07.2020-07:57:44,17.1,65.33
29.07.2020-07:57:49,20.04,32.02
29.07.2020-07:57:54,23.14,21.23
29.07.2020-07:57:59,16.44,75.01
29.07.2020-07:58:04,18.74,75.79
29.07.2020-07:58:09,20.83,17.82
29.07.2020-07:58:14,22.74,60.85
29.07.2020-07:58:19,25.59,28.95
29.07.2020-07:58:24,14.1,42.9
29.07.2020-07:58:29,13.18,35.14
29.07.2020-07:58:34,9.44,8.57
29.07.2020-07:58:39,18.16,41.44
29.07.2020-07:58:44,18.7,28.84
29.07.2020-07:58:49,14.67,76.67
29.07.2020-07:58:54,19.57,58.44
29.07.2020-07:58:59,4.82,59.82
29.07.2020-07:59:04,18.35,42.72
29.07.2020-07:59:09,18.22,59.56
29.07.2020-07:59:14,27.11,31.47
29.07.2020-07:59:19,12.34,19.18
29.07.2020-07:59:24,23.52,26.58
29.07.2020-07:59:29,13.79,54.6
29.07.2020-07:59:34,16.4,23.18
29.07.2020-07:59:39,11.79,26.77
29.07.2020-07:59:44,20.26,68.51
29.07.2020-07:59:49,13.49,60.45
29.07.2020-07:59:54,22.78,63.67
29.07.2020-07:59:59,20.24,79.93
29.07.2020-08:00:04,27.25,66.12
29.07.2020-08:00:09,14.87,60.92
29.07.2020-08:00:14,16.16,101.93
29.07.2020-08:00:19,24.4,49.2
29.07.2020-08:00:24,20.16,43.31
29.07.2020-08:00:29,16.81,33.68
29.07.2020-08:00:34,12.75,27.32
29.07.2020-08:00:39,29.54,74.32
29.07.2020-08:00:44,23.68,60.41
29.07.2020-08:00:49,19.16,85.25
29.07.2020-08:00:54,17.98,52.08
29.07.2020-08:00:59,26.47,68.75
29.07.2020-08:01:04,25.1,53.24
29.07.2020-08:01:09,26.35,56.34
29.07.2020-08:01:14,20.56,58.82
29.07.2020-08:01:19,12.62,51.97
29.07.2020-08:01:24,19.36,70.26
29.07.2020-08:01:29,18.66,83.94
29.07.2020-08:01:34,22.07,8.5
29.07.2020-08:01:39,25.69,25.9
29.07.2020-08:01:44,21.12,27.98
29.07.2020-08:01:49,36.96,49.26
29.07.2020-08:01:54,15.08,43.58
29.07.2020-08:01:59,15.51,9.63
29.07.2020-08:02:04,22.48,67.38
29.07.2020-08:02:09,15.77,27.43
29.07.2020-08:02:14,13.43,49.79
29.07.2020-08:02:19,19.95,41.5
29.07.2020-08:02:25,19.5,2.57
29.07.2020-08:02:30,20.77,49.26
29.07.2020-08:02:35,17.9,58.72
29.07.2020-08:02:40,21.06,82.54
29.07.2020-08:02:45,20.35,7.69
29.07.2020-08:02:50,14.5,74.68
29.07.2020-08:02:55,22.26,84.89
29.07.2020-08:03:00,21.83,52.99
29.07.2020-08:03:05,16.67,60.64
29.07.2020-08:03:10,18.83,18.66
29.07.2020-08:03:15,24.74,33.35
29.07.2020-08:03:20,14.56,51.0
29.07.2020-08:03:25,20.48,33.15
29.07.2020-08:03:30,19.08,66.65
29.07.2020-08:03:35,17.93,35.87
29.07.2020-08:03:40,14.23,16.57
29.07.2020-08:03:45,15.47,83.42
29.07.2020-08:03:50,14.47,20.08
29.07.2020-08:03:55,25.13,65.94
29.07.2020-08:04:00,17.24,48.42
29.07.2020-08:04:05,27.32,53.25
29.07.2020-08:04:10,22.38,59.44
29.07.2020-08:04:15,12.44,84.06
29.07.2020-08:04:20,16.88,64.35
29.07.2020-08:04:25,19.48,9.97
29.07.2020-08:04:30,28.96,45.66
29.07.2020-08:04:35,15.14,44.93
29.07.2020-08:04:40,14.3,21.45
29.07.2020-08:04:45,24.61,48.37
29.07.2020-08:04:50,2.92,59.27
29.07.2020-08:04:55,24.31,19.97
29.07.2020-08:05:00,21.49,32.0
29.07.2020-08:05:05,24.38,52.7
29.07.2020-08:05:10,15.17,64.47
29.07.2020-08:05:15,20.74,69.99
29.07.2020-08:05:20,16.72,24.77
29.07.2020-08:05:25,17.5,39.41
29.07.2020-08:05:30,23.85,88.77
29.07.2020-08:05:35,23.44,70.78
29.07.2020-08:05:40,23.52,70.07
29.07.2020-08:05:45,14.88,75.1
29.07.2020-08:05:50,24.83,26.35
29.07.2020-08:05:55,16.95,63.19
29.07.2020-08:06:00,20.61,59.92
29.07.2020-08:06:05,30.86,20.75
29.07.2020-08:06:10,16.41,38.63
29.07.2020-08:06:15,19.71,21.64
29.07.2020-08:06:20,17.48,43.64
29.07.2020-08:06:25,20.94,101.39
29.07.2020-08:06:30,23.0,50.79
29.07.2020-08:06:35,19.61,42.51
29.07.2020-08:06:40,25.0,40.95
29.07.2020-08:06:45,29.07,36.99
29.07.2020-08:06:50,21.0,77.55
29.07.2020-08:06:55,22.13,31.95
29.07.2020-08:07:00,26.64,72.19
29.07.2020-08:07:05,18.46,13.19
29.07.2020-08:07:10,12.17,63.93
29.07.2020-08:07:15,29.51,16.67
29.07.2020-08:07:20,20.93,18.08
29.07.2020-08:07:25,28.36,39.06
29.07.2020-08:07:30,21.43,64.64
29.07.2020-08:07:35,15.28,65.52
29.07.2020-08:07:40,21.89,5.27
29.07.2020-08:07:45,27.18,71.59
29.07.2020-08:07:50,15.2,58.18
29.07.2020-08:07:55,20.48,45.03
29.07.2020-08:08:00,23.31,30.97
29.07.2020-08:08:05,8.07,67.61
29.07.2020-08:08:10,21.78,46.84
29.07.2020-08:08:15,18.05,15.57
29.07.2020-08:08:20,16.09,38.8
29.07.2020-08:08:25,21.78,59.61
29.07.2020-08:08:30,16.97,30.29
29.07.2020-08:08:35,19.03,15.18
29.07.2020-08:08:40,22.07,23.91
29.07.2020-08:08:45,23.71,46.3
29.07.2020-08:08:50,24.54,35.75
29.07.2020-08:08:55,20.52,77.0
29.07.2020-08:09:00,13.05,51.04
29.07.2020-08:09:05,18.7,60.37
29.07.2020-08:09:10,11.89,81.2
29.07.2020-08:09:15,17.83,65.0
29.07.2020-08:09:20,26.93,33.21
29.07.2020-08:09:25,19.63,79.21
29.07.2020-08:09:30,19.16,20.37
29.07.2020-08:09:35,18.65,63.28
29.07.2020-08:09:40,24.86,34.65
29.07.2020-08:09:45,29.79,32.39
29.07.2020-08:09:50,25.21,42.92
29.07.2020-08:09:55,27.88,56.96
29.07.2020-08:10:00,4.89,69.23
29.07.2020-08:10:05,21.63,44.73
29.07.2020-08:10:10,11.81,63.0
29.07.2020-08:10:15,15.04,43.76
29.07.2020-08:10:20,17.21,59.37
29.07.2020-08:10:25,18.22,41.79
29.07.2020-08:10:30,24.5,54.98
29.07.2020-08:10:35,21.29,84.14
29.07.2020-08:10:40,25.67,30.94
29.07.2020-08:10:45,17.51,96.07
29.07.2020-08:10:50,20.11,26.66
29.07.2020-08:10:55,15.74,29.99
29.07.2020-08:11:00,19.74,88.72
29.07.2020-08:11:05,23.19,52.35
29.07.2020-08:11:10,10.65,67.73
29.07.2020-08:11:15,26.32,30.48
29.07.2020-08:11:20,15.55,41.86
29.07.2020-08:11:25,15.29,65.41
29.07.2020-08:11:30,18.9,83.38
29.07.2020-08:11:35,20.53,64.06
29.07.2020-08:11:40,19.19,69.69
29.07.2020-08:11:45,18.2,62.69
29.07.2020-08:11:50,21.01,43.7
29.07.2020-08:11:55,8.26,34.45
29.07.2020-08:12:00,24.4,36.5
29.07.2020-08:12:05,13.92,37.16
29.07.2020-08:12:10,23.09,19.93
29.07.2020-08:12:15,9.98,19.27
29.07.2020-08:12:20,29.34,80.39
29.07.2020-08:12:25,13.97,44.28
29.07.2020-08:12:30,14.11,46.89
29.07.2020-08:12:35,16.21,35.55
29.07.2020-08:12:40,22.19,46.83
29.07.2020-08:12:45,25.44,35.46
29.07.2020-08:12:50,18.5,58.38
29.07.2020-08:12:55,16.8,22.13
29.07.2020-08:13:00,13.67,61.76
29.07.2020-08:13:05,26.33,19.76
29.07.2020-08:13:10,21.41,40.28
29.07.2020-08:13:15,16.53,76.91
29.07.2020-08:13:20,14.29,38.79
29.07.2020-08:13:25,27.36,44.32
29.07.2020-08:13:30,18.73,73.98
29.07.2020-08:13:35,25.21,37.38
29.07.2020-08:13:40,19.35,53.94
29.07.2020-08:13:45,25.89,32.37
29.07.2020-08:13:50,11.99,77.05
29.07.2020-08:13:55,23.55,42.29
29.07.2020-08:14:00,25.04,56.73
29.07.2020-08:14:05,12.5,18.5
29.07.2020-08:14:10,14.62,30.38
29.07.2020-08:14:15,19.19,92.09
29.07.2020-08:14:20,23.46,15.46
29.07.2020-08:14:25,21.76,66.54
29.07.2020-08:14:30,19.77,63.26
29.07.2020-08:14:35,24.28,53.31
29.07.2020-08:14:40,21.81,62.09
29.07.2020-08:14:45,26.21,71.37
29.07.2020-08:14:50,22.6,50.67
29.07.2020-08:14:55,25.01,39.18
29.07.2020-08:15:00,28.02,19.43
29.07.2020-08:15:05,20.1,53.17
29.07.2020-08:15:10,6.6,17.87
29.07.2020-08:15:15,22.78,40.59
29.07.2020-08:15:20,19.5,56.45
29.07.2020-08:15:25,16.77,31.12
29.07.2020-08:15:30,8.83,53.85
29.07.2020-08:15:35,21.91,59.67
29.07.2020-08:15:40,23.43,54.39
29.07.2020-08:15:45,25.51,64.17
29.07.2020-08:15:50,5.11,36.88
29.07.2020-08:15:55,19.3,51.86
29.07.2020-08:16:00,19.71,40.74
29.07.2020-08:16:05,20.58,68.99
29.07.2020-08:16:10,23.83,73.56
29.07.2020-08:16:15,16.95,54.12
29.07.2020-08:16:20,21.8,45.21
29.07.2020-08:16:26,18.19,42.68
29.07.2020-08:16:31,19.31,49.82
29.07.2020-08:16:36,18.99,76.94
29.07.2020-08:16:41,9.96,65.38
29.07.2020-08:16:46,21.2,43.23
29.07.2020-08:16:51,25.02,38.82
29.07.2020-08:16:56,29.37,53.22
29.07.2020-08:17:01,26.42,34.21
29.07.2020-08:17:06,23.91,57.17
29.07.2020-08:17:11,24.04,45.62
29.07.2020-08:17:16,16.73,4.76
29.07.2020-08:17:21,18.99,34.29
29.07.2020-08:17:26,16.55,-0.23
29.07.2020-08:17:31,22.33,53.62
29.07.2020-08:17:36,14.87,33.97
29.07.2020-08:17:41,19.84,32.15
29.07.2020-08:17:46,21.54,29.37
29.07.2020-08:17:51,19.75,36.57
29.07.2020-08:17:56,27.51,47.26
29.07.2020-08:18:01,13.07,76.39
29.07.2020-08:18:06,26.36,61.92
29.07.2020-08:18:11,23.48,65.97
29.07.2020-08:18:16,22.87,64.54
29.07.2020-08:18:21,14.41,36.29
29.07.2020-08:18:26,20.47,33.06
29.07.2020-08:18:31,8.91,94.08
29.07.2020-08:18:36,24.1,31.27
29.07.2020-08:18:41,18.28,59.51
29.07.2020-08:18:46,21.8,31.74
29.07.2020-08:18:51,20.02,20.12
29.07.2020-08:18:56,15.44,63.09
29.07.2020-08:19:01,24.57,61.2
29.07.2020-08:19:06,30.45,83.2
29.07.2020-08:19:11,22.67,50.97
29.07.2020-08:19:16,12.28,5.94
29.07.2020-08:19:21,21.11,30.88
29.07.2020-08:19:26,13.85,91.75
29.07.2020-08:19:31,25.08,33.25
29.07.2020-08:19:36,16.47,11.05
29.07.2020-08:19:41,24.25,37.98
29.07.2020-08:19:46,34.54,29.02
29.07.2020-08:19:51,19.23,74.4
29.07.2020-08:19:56,26.11,110.38
29.07.2020-08:20:01,26.3,29.7
29.07.2020-08:20:06,12.1,77.05
29.07.2020-08:20:11,14.78,95.48
29.07.2020-08:20:16,19.33,47.74
29.07.2020-08:20:21,18.67,51.83
29.07.2020-08:20:26,17.52,54.8
29.07.2020-08:20:31,15.36,37.09
29.07.2020-08:20:36,21.68,60.91
29.07.2020-08:20:41,23.01,72.07
29.07.2020-08:20:46,22.14,62.17
29.07.2020-08:20:51,23.09,66.93
29.07.2020-08:20:56,20.04,59.8
29.07.2020-08:21:01,15.43,51.03
29.07.2020-08:21:06,21.32,31.76
29.07.2020-08:21:11,15.13,51.81
29.07.2020-08:21:16,23.24,82.24
29.07.2020-08:21:21,23.26,42.39
29.07.2020-08:21:26,27.37,47.31
29.07.2020-08:21:31,24.78,48.16
29.07.2020-08:21:36,20.52,57.86
29.07.2020-08:21:41,13.44,48.85
29.07.2020-08:21:46,18.68,50.39
29.07.2020-08:21:51,26.43,49.52
29.07.2020-08:21:56,19.4,47.97
29.07.2020-08:22:01,18.17,13.73
29.07.2020-08:22:06,22.62,63.38
29.07.2020-08:22:11,23.06,60.27
29.07.2020-08:22:16,11.13,2.09
29.07.2020-08:22:21,26.32,54.9
29.07.2020-08:22:26,19.85,52.04
29.07.2020-08:22:31,12.09,57.38
29.07.2020-08:22:36,16.05,80.52
29.07.2020-08:22:41,23.08,22.02
29.07.2020-08:22:46,26.31,37.26
29.07.2020-08:22:51,13.36,56.16
29.07.2020-08:22:56,19.88,61.34
29.07.2020-08:23:01,17.84,64.18
29.07.2020-08:23:06,20.58,30.5
29.07.2020-08:23:11,28.35,30.91
29.07.2020-08:23:16,17.39,86.56
29.07.2020-08:23:21,17.06,64.34
29.07.2020-08:23:26,9.94,51.84
29.07.2020-08:23:31,19.16,38.08
29.07.2020-08:23:36,24.97,53.85
29.07.2020-08:23:41,23.85,81.97
29.07.2020-08:23:46,19.96,5.92
29.07.2020-08:23:51,19.08,44.89
29.07.2020-08:23:56,24.58,62.23
29.07.2020-08:24:01,25.23,57.33
29.07.2020-08:24:06,20.68,97.01
29.07.2020-08:24:11,21.9,64.66
29.07.2020-08:24:16,5.42,66.38
29.07.2020-08:24:21,21.0,68.78
29.07.2020-08:24:26,26.12,52.1
29.07.2020-08:24:31,28.74,28.1
29.07.2020-08:24:36,17.23,50.92
29.07.2020-08:24:41,19.84,15.82
29.07.2020-08:24:46,14.99,78.23
29.07.2020-08:24:51,18.86,32.99
29.07.2020-08:24:56,24.15,42.53
29.07.2020-08:25:01,26.3,40.15
29.07.2020-08:25:06,19.0,65.74
29.07.2020-08:25:11,21.44,33.31
29.07.2020-08:25:16,11.72,15.58
29.07.2020-08:25:21,15.11,42.0
29.07.2020-08:25:26,26.81,40.28
29.07.2020-08:25:31,18.6,43.78
29.07.2020-08:25:36,12.13,66.04
29.07.2020-08:25:41,21.47,28.19
29.07.2020-08:25:46,19.22,16.81
29.07.2020-08:25:51,20.78,52.9
29.07.2020-08:25:56,21.57,45.79
29.07.2020-08:26:01,18.04,65.2
29.07.2020-08:26:06,27.17,59.24
29.07.2020-08:26:11,24.51,66.02
29.07.2020-08:26:16,17.82,69.11
29.07.2020-08:26:21,19.79,83.6
29.07.2020-08:26:26,12.12,71.14
29.07.2020-08:26:31,19.88,27.41
29.07.2020-08:26:36,20.22,60.07
29.07.2020-08:26:41,24.92,57.51
29.07.2020-08:26:46,12.88,21.57
29.07.2020-08:26:51,12.28,18.09
29.07.2020-08:26:56,20.53,55.31
29.07.2020-08:27:01,26.19,74.49
29.07.2020-08:27:06,17.73,26.77
29.07.2020-08:27:11,19.0,29.13
29.07.2020-08:27:16,24.32,46.0
29.07.2020-08:27:21,23.56,70.46
29.07.2020-08:27:26,17.42,53.19
29.07.2020-08:27:31,19.58,54.53
29.07.2020-08:27:36,19.2,64.51
29.07.2020-08:27:41,21.37,50.89
29.07.2020-08:27:46,23.26,16.64
29.07.2020-08:27:51,23.06,42.66
29.07.2020-08:27:56,20.92,44.17
29.07.2020-08:28:01,17.93,58.47
29.07.2020-08:28:06,13.99,83.0
29.07.2020-08:28:11,23.23,33.68
29.07.2020-08:28:16,13.02,56.66
29.07.2020-08:28:21,19.32,37.38
29.07.2020-08:28:26,16.23,28.38
29.07.2020-08:28:31,23.15,46.61
29.07.2020-08:28:36,22.91,43.04
29.07.2020-08:28:41,17.45,34.43
29.07.2020-08:28:46,22.18,68.42
29.07.2020-08:28:51,13.07,49.04
29.07.2020-08:28:56,21.93,22.66
29.07.2020-08:29:01,23.52,44.91
29.07.2020-08:29:06,25.26,57.8
29.07.2020-08:29:11,19.78,24.4
29.07.2020-08:29:16,25.73,41.01
29.07.2020-08:29:21,23.21,57.68
29.07.2020-08:29:26,24.86,79.87
29.07.2020-08:29:31,21.28,50.41
29.07.2020-08:29:36,19.28,60.12
29.07.2020-08:29:41,20.47,59.26
29.07.2020-08:29:46,29.09,53.93
29.07.2020-08:29:51,18.4,42.97
29.07.2020-08:29:56,22.81,64.98
29.07.2020-08:30:01,28.0,71.43
29.07.2020-08:30:06,18.64,32.16
29.07.2020-08:30:11,21.87,86.21
29.07.2020-08:30:16,16.99,75.82
29.07.2020-08:30:21,21.77,35.01
29.07.2020-08:30:27,22.57,15.96
29.07.2020-08:30:32,15.84,36.61
29.07.2020-08:30:37,17.63,49.22
29.07.2020-08:30:42,22.36,58.77
29.07.2020-08:30:47,18.69,19.36
29.07.2020-08:30:52,17.43,42.9
29.07.2020-08:30:57,22.57,52.36
29.07.2020-08:31:02,19.16,59.06
29.07.2020-08:31:07,24.3,58.2
29.07.2020-08:31:12,20.93,49.53
29.07.2020-08:31:17,30.46,83.45
29.07.2020-08:31:22,18.42,41.74
29.07.2020-08:31:27,13.68,47.46
29.07.2020-08:31:32,18.18,69.76
29.07.2020-08:31:37,19.31,43.59
29.07.2020-08:31:42,20.53,63.02
29.07.2020-08:31:47,20.3,55.43
29.07.2020-08:31:52,10.17,79.0
29.07.2020-08:31:57,14.21,37.01
29.07.2020-08:32:02,14.15,44.31
29.07.2020-08:32:07,13.35,43.56
29.07.2020-08:32:12,12.08,68.34
29.07.2020-08:32:17,21.62,57.75
29.07.2020-08:32:22,19.61,54.98
29.07.2020-08:32:27,22.42,39.97
29.07.2020-08:32:32,21.51,66.0
29.07.2020-08:32:37,15.24,57.19
29.07.2020-08:32:42,23.64,32.44
29.07.2020-08:32:47,31.52,69.53
29.07.2020-08:32:52,19.73,44.89
29.07.2020-08:32:57,19.72,65.1
29.07.2020-08:33:02,24.22,39.2
29.07.2020-08:33:07,11.67,37.47
29.07.2020-08:33:12,17.21,70.08
29.07.2020-08:33:17,23.42,47.16
29.07.2020-08:33:22,21.77,39.45
29.07.2020-08:33:27,23.61,62.36
29.07.2020-08:33:32,19.47,61.54
29.07.2020-08:33:37,23.73,79.38
29.07.2020-08:33:42,27.36,47.46
29.07.2020-08:33:47,16.83,19.25
29.07.2020-08:33:52,20.93,49.2
29.07.2020-08:33:57,9.52,45.76
29.07.2020-08:34:02,10.03,59.72
29.07.2020-08:34:07,16.87,60.3
29.07.2020-08:34:12,21.51,23.22
29.07.2020-08:34:17,18.61,29.91
29.07.2020-08:34:22,20.45,46.23
29.07.2020-08:34:27,19.89,48.57
29.07.2020-08:34:32,23.41,24.52
29.07.2020-08:34:37,15.18,51.37
29.07.2020-08:34:42,20.16,91.55
29.07.2020-08:34:47,22.81,56.4
29.07.2020-08:34:52,24.66,31.32
29.07.2020-08:34:57,11.47,16.6
29.07.2020-08:35:02,29.32,62.42
29.07.2020-08:35:07,13.63,37.5
29.07.2020-08:35:12,14.79,56.89
29.07.2020-08:35:17,18.9,34.0
29.07.2020-08:35:22,10.53,76.38
29.07.2020-08:35:27,17.49,55.82
29.07.2020-08:35:32,23.15,68.5
29.07.2020-08:35:37,19.35,53.9
29.07.2020-08:35:42,16.93,93.34
29.07.2020-08:35:47,21.01,45.24
29.07.2020-08:35:52,16.96,27.99
29.07.2020-08:35:57,19.95,24.77
29.07.2020-08:36:02,26.09,60.14
29.07.2020-08:36:07,18.04,81.68
29.07.2020-08:36:12,22.4,63.09
29.07.2020-08:36:17,15.97,82.98
29.07.2020-08:36:22,22.87,19.47
29.07.2020-08:36:27,25.7,59.39
29.07.2020-08:36:32,23.62,48.18
29.07.2020-08:36:37,19.47,60.32
29.07.2020-08:36:42,26.7,58.01
29.07.2020-08:36:47,23.18,5.55
29.07.2020-08:36:52,18.99,9.71
29.07.2020-08:36:57,19.8,39.06
29.07.2020-08:37:02,17.94,56.82
29.07.2020-08:37:07,19.04,44.47
29.07.2020-08:37:12,18.59,47.71
29.07.2020-08:37:17,16.94,42.53
29.07.2020-08:37:22,23.31,22.38
29.07.2020-08:37:27,17.4,43.7
29.07.2020-08:37:32,17.23,67.19
29.07.2020-08:37:37,15.36,35.96
29.07.2020-08:37:42,26.56,69.09
29.07.2020-08:37:47,17.59,35.96
29.07.2020-08:37:52,17.47,40.46
29.07.2020-08:37:57,26.43,55.84
29.07.2020-08:38:02,20.28,25.85
29.07.2020-08:38:07,17.73,62.5
29.07.2020-08:38:12,20.9,10.16
29.07.2020-08:38:17,9.47,68.06
29.07.2020-08:38:22,5.13,35.82
29.07.2020-08:38:27,21.43,-1.39
29.07.2020-08:38:32,22.06,72.15
29.07.2020-08:38:37,14.3,64.34
29.07.2020-08:38:42,26.3,46.58
29.07.2020-08:38:47,19.57,60.18
29.07.2020-08:38:52,27.25,94.71
29.07.2020-08:38:57,13.98,52.55
29.07.2020-08:39:02,25.34,72.53
29.07.2020-08:39:07,21.17,39.83
29.07.2020-08:39:12,21.1,50.69
29.07.2020-08:39:17,19.47,67.82
29.07.2020-08:39:22,21.6,36.55
29.07.2020-08:39:27,21.79,15.09
29.07.2020-08:39:32,20.57,29.34
29.07.2020-08:39:37,25.14,43.87
29.07.2020-08:39:42,14.76,77.6
29.07.2020-08:39:47,21.83,57.45
29.07.2020-08:39:52,24.86,37.14
29.07.2020-08:39:57,25.01,47.12
29.07.2020-08:40:02,13.62,47.1
29.07.2020-08:40:07,18.7,82.79
29.07.2020-08:40:12,21.53,31.09
29.07.2020-08:40:17,20.4,46.84
29.07.2020-08:40:22,21.47,85.97
29.07.2020-08:40:27,20.21,32.29
29.07.2020-08:40:32,23.01,43.54
29.07.2020-08:40:37,17.25,34.63
29.07.2020-08:40:42,11.97,58.79
29.07.2020-08:40:47,26.3,58.64
29.07.2020-08:40:52,16.61,70.63
29.07.2020-08:40:57,14.84,104.55
29.07.2020-08:41:02,22.16,32.94
29.07.2020-08:41:07,16.12,38.16
29.07.2020-08:41:12,19.03,45.1
29.07.2020-08:41:17,17.13,28.46
29.07.2020-08:41:22,15.16,59.98
29.07.2020-08:41:27,20.41,72.42
29.07.2020-08:41:32,24.9,70.68
29.07.2020-08:41:37,15.87,54.58
29.07.2020-08:41:42,28.03,48.41
29.07.2020-08:41:47,19.19,58.52
29.07.2020-08:41:52,19.04,66.57
29.07.2020-08:41:57,17.61,50.92
29.07.2020-08:42:02,27.61,65.76
29.07.2020-08:42:07,18.85,33.6
29.07.2020-08:42:12,25.2,41.06
29.07.2020-08:42:17,17.31,65.38
29.07.2020-08:42:22,17.43,23.35
29.07.2020-08:42:27,15.51,69.04
29.07.2020-08:42:32,14.09,58.55
29.07.2020-08:42:37,10.01,77.09
29.07.2020-08:42:42,22.04,61.75
29.07.2020-08:42:47,25.3,65.82
29.07.2020-08:42:52,27.99,44.07
29.07.2020-08:42:57,25.78,42.1
29.07.2020-08:43:02,18.14,28.21
29.07.2020-08:43:07,25.98,2.09
29.07.2020-08:43:12,15.02,42.21
29.07.2020-08:43:17,21.63,41.66
29.07.2020-08:43:22,11.38,60.27
29.07.2020-08:43:27,21.12,86.59
29.07.2020-08:43:32,14.08,23.16
29.07.2020-08:43:37,26.64,51.7
29.07.2020-08:43:42,12.96,62.61
29.07.2020-08:43:47,23.99,65.86
29.07.2020-08:43:52,11.49,71.68
29.07.2020-08:43:57,22.21,56.08
29.07.2020-08:44:02,12.18,68.84
29.07.2020-08:44:07,22.96,25.78
29.07.2020-08:44:12,10.59,19.35
29.07.2020-08:44:17,10.43,39.49
29.07.2020-08:44:22,16.27,0.83
29.07.2020-08:44:27,13.29,30.51
29.07.2020-08:44:32,17.86,15.21
29.07.2020-08:44:38,27.45,19.56
29.07.2020-08:44:43,20.72,42.96
29.07.2020-08:44:48,16.58,13.51
29.07.2020-08:44:53,17.12,38.12
29.07.2020-08:44:58,21.03,39.41
29.07.2020-08:45:03,19.48,77.57
29.07.2020-08:45:08,23.47,84.13
29.07.2020-08:45:13,25.37,8.86
29.07.2020-08:45:18,15.68,42.58
29.07.2020-08:45:23,16.65,59.03
29.07.2020-08:45:28,21.11,54.91
29.07.2020-08:45:33,10.83,17.84
29.07.2020-08:45:38,25.09,26.04
29.07.2020-08:45:43,26.29,18.24
29.07.2020-08:45:48,21.86,69.94
29.07.2020-08:45:53,25.31,80.1
29.07.2020-08:45:58,16.36,33.37
29.07.2020-08:46:03,22.7,33.45
29.07.2020-08:46:08,25.4,42.83
29.07.2020-08:46:13,14.89,46.49
29.07.2020-08:46:18,29.6,39.59
29.07.2020-08:46:23,12.85,30.37
29.07.2020-08:46:28,23.69,40.42
29.07.2020-08:46:33,21.93,49.64
29.07.2020-08:46:38,7.34,63.24
29.07.2020-08:46:43,29.58,45.44
29.07.2020-08:46:48,14.98,77.46
29.07.2020-08:46:53,22.62,82.56
29.07.2020-08:46:58,21.79,34.51
29.07.2020-08:47:03,23.87,66.0
29.07.2020-08:47:08,12.11,78.98
29.07.2020-08:47:13,14.04,64.33
29.07.2020-08:47:18,19.02,39.05
29.07.2020-08:47:23,28.39,63.6
29.07.2020-08:47:28,24.35,61.12
29.07.2020-08:47:33,19.47,80.07
29.07.2020-08:47:38,13.91,33.47
29.07.2020-08:47:43,24.34,70.64
29.07.2020-08:47:48,13.68,66.82
29.07.2020-08:47:53,19.3,48.64
29.07.2020-08:47:58,25.13,34.04
29.07.2020-08:48:03,16.09,47.48
29.07.2020-08:48:08,20.6,39.84
29.07.2020-08:48:13,18.2,80.32
29.07.2020-08:48:18,13.97,12.96
29.07.2020-08:48:23,20.34,68.92
29.07.2020-08:48:28,23.03,68.45
29.07.2020-08:48:33,21.56,49.33
29.07.2020-08:48:38,11.23,71.21
29.07.2020-08:48:43,19.2,22.71
29.07.2020-08:48:48,21.63,70.62
29.07.2020-08:48:53,13.83,25.06
